interval60,Temperature,Precipitation,Wind_Speed,Dew_Point_Temp
1/1/2020 0:00,46.4,0.02,15,41
1/1/2020 1:00,44.6,0.01,14,41
1/1/2020 2:00,44.6,0.01,18,41
1/1/2020 3:00,44.6,0,15,41
1/1/2020 4:00,44.6,0,12,41
1/1/2020 5:00,46.4,0,13,41
1/1/2020 6:00,46.4,0,14,41
1/1/2020 7:00,46.4,0,6,39.2
1/1/2020 8:00,46.4,0,8,37.4
1/1/2020 9:00,46.4,0,10,35.6
1/1/2020 10:00,44.6,0.01,15,37.4
1/1/2020 11:00,44.6,0,14,35.6
1/1/2020 12:00,44.6,0,17,33.8
1/1/2020 13:00,46.4,0,15,33.8
1/1/2020 14:00,46.4,0,14,35.6
1/1/2020 15:00,50,0,18,28.4
1/1/2020 16:00,50,0,14,30.2
1/1/2020 17:00,44.6,0,10,28.4
1/1/2020 18:00,44.6,0,4,28.4
1/1/2020 19:00,41,0,8,28.4
1/1/2020 20:00,41,0,7,28.4
1/1/2020 21:00,39.2,0,5,28.4
1/1/2020 22:00,42.8,0,9,28.4
1/1/2020 23:00,42.8,0,7,28.4
1/2/2020 0:00,39.2,0,6,30.2
1/2/2020 1:00,35.6,0,6,28.4
1/2/2020 2:00,37.4,0,5,30.2
1/2/2020 3:00,35.6,0,7,28.4
1/2/2020 4:00,35.6,0,5,26.6
1/2/2020 5:00,33.8,0,0,26.6
1/2/2020 6:00,35.6,0,0,26.6
1/2/2020 7:00,33.8,0,4,24.8
1/2/2020 8:00,33.8,0,4,26.6
1/2/2020 9:00,32,0,0,26.6
1/2/2020 10:00,33.8,0,5,26.6
1/2/2020 11:00,39.2,0,8,28.4
1/2/2020 12:00,42.8,0,9,28.4
1/2/2020 13:00,42.8,0,10,28.4
1/2/2020 14:00,44.6,0,15,30.2
1/2/2020 15:00,46.4,0,14,32
1/2/2020 16:00,46.4,0,18,32
1/2/2020 17:00,46.4,0,15,32
1/2/2020 18:00,44.6,0,16,32
1/2/2020 19:00,42.8,0,17,32
1/2/2020 20:00,42.8,0,14,32
1/2/2020 21:00,42.8,0,20,32
1/2/2020 22:00,42.8,0,14,32
1/2/2020 23:00,44.6,0,15,28.4
1/3/2020 0:00,46.4,0,16,24.8
1/3/2020 1:00,46.4,0,14,21.2
1/3/2020 2:00,46.4,0,14,21.2
1/3/2020 3:00,46.4,0,15,19.4
1/3/2020 4:00,48.2,0,17,15.8
1/3/2020 5:00,48.2,0,13,14
1/3/2020 6:00,48.2,0,12,15.8
1/3/2020 7:00,46.4,0,15,14
1/3/2020 8:00,44.6,0,16,14
1/3/2020 9:00,42.8,0,15,14
1/3/2020 10:00,42.8,0,16,15.8
1/3/2020 11:00,44.6,0,20,17.6
1/3/2020 12:00,48.2,0,18,19.4
1/3/2020 13:00,50,0,16,19.4
1/3/2020 14:00,53.6,0,14,19.4
1/3/2020 15:00,59,0,9,23
1/3/2020 16:00,60.8,0,13,21.2
1/3/2020 17:00,60.8,0,8,19.4
1/3/2020 18:00,53.6,0,7,19.4
1/3/2020 19:00,48.2,0,4,21.2
1/3/2020 20:00,46.4,0,0,24.8
1/3/2020 21:00,41,0,0,23
1/3/2020 22:00,44.6,0,6,23
1/3/2020 23:00,48.2,0,11,23
1/4/2020 0:00,50,0,20,19.4
1/4/2020 1:00,50,0,21,21.2
1/4/2020 2:00,50,0,24,23
