OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,MONTH,DAY,geometry,DISCOVERY_DATETIME,interval60,Temperature,Precipitation,Wind_Speed,Dew_Point_Temp
1722248,300000318,FS-1527910,FED,FS-FIRESTAT,0601,Deschutes National Forest,241,1-157,JGK4,,,,,2014,2014-11-10,314,10:00:00,9.0,Miscellaneous,2456971.5,314.0,1049,0.1,A,43.78777778,-121.11666667,OR,Deschutes,017,Deschutes,b'\x00\x01\xad\x10\x00\x00\xb8\x0b{wwG^\xc0\xd0\xce\xfc\xe6\xd5\xe4E@\xb8\x0b{wwG^\xc0\xd0\xce\xfc\xe6\xd5\xe4E@|\x01\x00\x00\x00\xb8\x0b{wwG^\xc0\xd0\xce\xfc\xe6\xd5\xe4E@\xfe',11,10,POINT (-121.11666667 43.78777778),2014-11-10 10:00:00,2014-11-10 10:00:00,37.4,0.0,3,28.4
1722249,300000319,FS-1527911,FED,FS-FIRESTAT,0601,Deschutes National Forest,242,1-158,JG4Y,,,,,2014,2014-12-15,349,11:00:00,9.0,Miscellaneous,2457006.5,349.0,1201,0.1,A,43.82,-121.32166667,OR,Deschutes,017,Deschutes,b'\x00\x01\xad\x10\x00\x00<\xf7\xcc/\x96T^\xc00\\\x8f\xc2\xf5\xe8E@<\xf7\xcc/\x96T^\xc00\\\x8f\xc2\xf5\xe8E@|\x01\x00\x00\x00<\xf7\xcc/\x96T^\xc00\\\x8f\xc2\xf5\xe8E@\xfe',12,15,POINT (-121.32166667 43.82),2014-12-15 11:00:00,2014-12-15 11:00:00,28.4,0.0,0,26.6
1722250,300000320,FS-1527906,FED,FS-FIRESTAT,0601,Deschutes National Forest,136,1-086,EK2A,,,,,2014,2014-07-29,210,18:00:00,1.0,Lightning,2456867.5,210.0,1935,0.1,A,43.39777778,-121.21861111,OR,Lake,037,Lake,b'\x00\x01\xad\x10\x00\x00\x80\xffs\xb9\xfdM^\xc0\x80\x16\xdea\xea\xb2E@\x80\xffs\xb9\xfdM^\xc0\x80\x16\xdea\xea\xb2E@|\x01\x00\x00\x00\x80\xffs\xb9\xfdM^\xc0\x80\x16\xdea\xea\xb2E@\xfe',7,29,POINT (-121.21861111 43.39777778),2014-07-29 18:00:00,2014-07-29 18:00:00,86.0,0.0,12,46.4
1722273,300000343,FS-1525819,FED,FS-FIRESTAT,0601,Deschutes National Forest,166,1-107,EK2A,,,,,2014,2014-07-29,210,18:00:00,1.0,Lightning,2456867.5,210.0,2005,0.1,A,43.98638889,-121.58638889,OR,Deschutes,017,Deschutes,b'\x00\x01\xad\x10\x00\x00hRDe\x87e^\xc0\x10\xd8\xbb\xfdA\xfeE@hRDe\x87e^\xc0\x10\xd8\xbb\xfdA\xfeE@|\x01\x00\x00\x00hRDe\x87e^\xc0\x10\xd8\xbb\xfdA\xfeE@\xfe',7,29,POINT (-121.58638889 43.98638889),2014-07-29 18:00:00,2014-07-29 18:00:00,86.0,0.0,12,46.4
1722328,300000398,FS-1525181,FED,FS-FIRESTAT,0601,Deschutes National Forest,134,1-084,EK2A,,,,,2014,2014-07-29,210,18:00:00,1.0,Lightning,2456868.5,211.0,1300,0.3,B,44.02888889,-121.60555556,OR,Deschutes,017,Deschutes,b'\x00\x01\xad\x10\x00\x00\x18\x87\x1bl\xc1f^\xc0P\xe2\x92\xa1\xb2\x03F@\x18\x87\x1bl\xc1f^\xc0P\xe2\x92\xa1\xb2\x03F@|\x01\x00\x00\x00\x18\x87\x1bl\xc1f^\xc0P\xe2\x92\xa1\xb2\x03F@\xfe',7,29,POINT (-121.60555556 44.02888889),2014-07-29 18:00:00,2014-07-29 18:00:00,86.0,0.0,12,46.4
1726785,300004946,FS-1525513,FED,FS-FIRESTAT,0602,Fremont-Winema National Forest,051,338,EK2B,,,,,2014,2014-07-29,210,18:00:00,1.0,Lightning,2456867.5,210.0,2024,0.25,A,43.04805556,-121.58194444,OR,Klamath,035,Klamath,b'\x00\x01\xad\x10\x00\x00\xe4x\xe4\x93>e^\xc0\xb0KA\xaf&\x86E@\xe4x\xe4\x93>e^\xc0\xb0KA\xaf&\x86E@|\x01\x00\x00\x00\xe4x\xe4\x93>e^\xc0\xb0KA\xaf&\x86E@\xfe',7,29,POINT (-121.58194444 43.04805556),2014-07-29 18:00:00,2014-07-29 18:00:00,86.0,0.0,12,46.4
1727298,300005467,FS-1527636,FED,FS-FIRESTAT,0610,Rogue River Siskiyou National Forest,067,140647,EK2J,,,,,2014,2014-07-29,210,18:00:00,1.0,Lightning,2456867.5,210.0,1900,0.1,A,42.25277778,-122.20416667,OR,Jackson,029,Jackson,b'\x00\x01\xad\x10\x00\x00P\xa5\x14\x11\x11\x8d^\xc0\xb8 \xb5\x05[ E@P\xa5\x14\x11\x11\x8d^\xc0\xb8 \xb5\x05[ E@|\x01\x00\x00\x00P\xa5\x14\x11\x11\x8d^\xc0\xb8 \xb5\x05[ E@\xfe',7,29,POINT (-122.20416667 42.25277778),2014-07-29 18:00:00,2014-07-29 18:00:00,86.0,0.0,12,46.4
1734455,300023891,W-670778,FED,DOI-WFMI,ORMED,Medford District,,,14TF,,,,,2014,2014-07-29,210,18:00:00,1.0,Lightning,2456867.5,210.0,2341,1.5,B,42.0474,-122.5928,OR,Jackson,029,Jackson,b'\x00\x01\xad\x10\x00\x00dDio\xf0\xa5^\xc0P\xea\x044\x11\x06E@dDio\xf0\xa5^\xc0P\xea\x044\x11\x06E@|\x01\x00\x00\x00dDio\xf0\xa5^\xc0P\xea\x044\x11\x06E@\xfe',7,29,POINT (-122.5928 42.0474),2014-07-29 18:00:00,2014-07-29 18:00:00,86.0,0.0,12,46.4
1734522,300023958,W-671187,FED,DOI-WFMI,ORMED,Medford District,,,JBC8,,,,,2014,2014-07-29,210,18:00:00,1.0,Lightning,2456867.5,210.0,2240,0.1,A,42.0087,-123.6445,OR,Jackson,029,Jackson,b'\x00\x01\xad\x10\x00\x00h\x91\xed|?\xe9^\xc0\xd8\xbc\xe3\x14\x1d\x01E@h\x91\xed|?\xe9^\xc0\xd8\xbc\xe3\x14\x1d\x01E@|\x01\x00\x00\x00h\x91\xed|?\xe9^\xc0\xd8\xbc\xe3\x14\x1d\x01E@\xfe',7,29,POINT (-123.6445 42.0087),2014-07-29 18:00:00,2014-07-29 18:00:00,86.0,0.0,12,46.4
1734523,300023959,W-671030,FED,DOI-WFMI,ORMED,Medford District,,,JBD0,,,,,2014,2014-07-29,210,18:00:00,1.0,Lightning,2456867.5,210.0,2306,0.1,A,42.196,-122.3892,OR,Jackson,029,Jackson,b'\x00\x01\xad\x10\x00\x00\x98\xe6\x1d\xa7\xe8\x98^\xc0\x10\x02+\x87\x16\x19E@\x98\xe6\x1d\xa7\xe8\x98^\xc0\x10\x02+\x87\x16\x19E@|\x01\x00\x00\x00\x98\xe6\x1d\xa7\xe8\x98^\xc0\x10\x02+\x87\x16\x19E@\xfe',7,29,POINT (-122.3892 42.196),2014-07-29 18:00:00,2014-07-29 18:00:00,86.0,0.0,12,46.4
