MONTH,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,9.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,,12.0,2.0,2.0,,2.0,,5.0,1.0,7.0,5.0,2.0,6.0,2.0,23.0,3.0
2,4.0,16.0,4.0,4.0,4.0,2.0,3.0,,1.0,10.0,7.0,10.0,6.0,11.0,14.0,8.0,6.0,8.0,4.0,8.0,11.0,6.0,5.0,10.0
3,47.0,6.0,41.0,26.0,7.0,5.0,6.0,5.0,10.0,21.0,24.0,4.0,26.0,54.0,7.0,23.0,5.0,11.0,14.0,1.0,18.0,21.0,19.0,26.0
4,28.0,2.0,31.0,34.0,14.0,19.0,31.0,61.0,41.0,17.0,36.0,10.0,59.0,29.0,51.0,30.0,31.0,47.0,9.0,10.0,26.0,47.0,42.0,65.0
5,397.0,80.0,135.0,100.0,26.0,110.0,21.0,76.0,72.0,190.0,96.0,79.0,70.0,73.0,210.0,148.0,76.0,167.0,43.0,37.0,81.0,210.0,86.0,109.0
6,868.0,128.0,195.0,215.0,175.0,162.0,98.0,180.0,185.0,166.0,277.0,288.0,288.0,116.0,216.0,292.0,343.0,211.0,90.0,78.0,119.0,160.0,199.0,546.0
7,1024.0,225.0,1298.0,737.0,880.0,681.0,985.0,574.0,627.0,1201.0,1067.0,839.0,719.0,432.0,861.0,945.0,517.0,473.0,748.0,323.0,418.0,602.0,1244.0,764.0
8,860.0,554.0,807.0,368.0,1344.0,559.0,832.0,1366.0,618.0,846.0,530.0,763.0,858.0,678.0,1211.0,579.0,1228.0,844.0,698.0,923.0,471.0,1130.0,1007.0,616.0
9,538.0,365.0,758.0,591.0,263.0,432.0,350.0,355.0,218.0,700.0,266.0,398.0,146.0,207.0,361.0,323.0,272.0,364.0,203.0,433.0,320.0,304.0,308.0,187.0
10,167.0,285.0,195.0,140.0,134.0,156.0,236.0,217.0,147.0,156.0,217.0,162.0,77.0,133.0,233.0,113.0,156.0,146.0,98.0,109.0,161.0,53.0,96.0,145.0
11,13.0,173.0,4.0,45.0,25.0,13.0,11.0,91.0,15.0,49.0,217.0,57.0,16.0,6.0,18.0,43.0,24.0,25.0,11.0,31.0,24.0,23.0,15.0,23.0
12,2.0,16.0,1.0,,,2.0,,1.0,4.0,,20.0,3.0,5.0,5.0,2.0,3.0,9.0,1.0,2.0,13.0,2.0,4.0,3.0,6.0
