MONTH,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,3603,1553,3271,1473,3239,2638,1291,3388,5113,5426,3625,4191,3687,3916,9805,3222,5580,6129,2312,5227,4323,3150,6011,4265
2,7114,4454,5795,6010,10631,3621,2804,6215,10470,6598,10104,2910,4299,5032,8277,8387,6985,9500,2924,10324,3854,3255,4365,5214
3,8706,5356,11369,10300,9605,8029,6753,10903,11523,6626,9046,6732,12558,10303,18923,14098,9876,12344,9423,9481,8131,8675,9177,8046
4,7810,6926,9561,10089,10035,10018,7619,10520,8109,10008,8728,9879,11387,12600,15901,10578,10952,11056,11527,8658,7839,7523,9850,9066
5,8574,5980,6908,5662,6592,6759,4733,6192,8026,8985,7438,5171,5483,6232,8343,10291,7146,5920,5180,6846,5763,7291,6339,8044
6,7307,6917,6277,5137,6138,4321,7347,5990,8179,6187,6823,5294,7059,6224,10884,8331,10085,5814,5654,9453,7285,5722,4603,6409
7,7618,8765,11884,8320,9698,7583,10194,7180,11927,9856,10673,10435,8358,9558,15267,12084,10107,10460,9144,10633,11921,8194,8710,8665
8,7478,7620,8743,7058,9037,6019,8862,12430,13454,8121,8518,8983,6864,8311,10993,9746,8430,6722,8164,11470,8218,8292,6638,8407
9,3717,4984,5130,7103,3839,5879,6371,9195,6524,4901,4837,4465,3478,7560,4870,6455,4200,4608,7637,7984,5015,4615,3175,5523
10,3579,4016,2632,4098,3219,3699,5329,5795,7441,6643,1964,4602,2085,5904,4208,4734,4543,1850,8717,4563,3704,2598,3077,5992
11,1398,3321,2964,3043,1926,1537,4176,7411,3185,10332,2298,3176,2013,7663,3119,4234,4693,2930,4758,3627,4698,3818,4021,3296
12,1071,2097,1421,3179,1615,1347,2891,4144,2465,2904,1602,2423,2008,5301,3414,3413,2781,992,4449,2286,2018,1647,1787,1564
